user,dataID,filename,Question_1_1_1,Question_1_2_1,Question_1_2_2,Question_1_3_1,Question_2_1_1,Question_2_2_1,Question_3_1_1,Question_3_2_1,Question_3_3_1,Question_4_1_1,Question_4_2_1,Question_4_3_1,Question_5_1_1,Question_5_2_1,Question_5_3_1,Question_5_4_1,Question_5_5_1,Question_6_1_1,Question_6_2_1,Question_6_3_1,Question_6_4_1,Question_6_5_1,Question_7_1_1,Question_7_2_1,Question_7_3_1,Question_8_1_1,Question_8_2_1,Question_9_1_1,work_length,message
1,83896867,Schubert_D960_mv2_8bars_1_08.wav,1,1.0,,,7,1,1,1,6,1,1,1,1,1,1,1,6,6,1,1,6,1,1,1,1,1,1,1,45,"26초 가량의 짧은 곡이지만, 설문을 통해 계속해서 생각하고 스토리를 재구성 해보니 재미있었던 시간이었다."
1,83897162,Schubert_D960_mv2_8bars_1_10.wav,1,6.0,,,1,1,1,6,6,1,1,1,6,6,1,1,6,6,1,1,6,1,1,1,1,1,1,1,30,첫 곡과 같은 멜로디의 곡이라 더욱 비교하며 평가하기 쉬웠던 것 같다. 첫번째 곡은 마치 겨울이 가고 봄이 오는 느낌이라면 이 곡은 봄에서 여름이 오듯 싱그러운 느낌의 스토리가 연상이 되었다. 
1,83897193,Schubert_D960_mv2_8bars_2_02.wav,2,,,,3,2,1,5,3,1,2,2,2,6,2,2,3,4,2,3,5,2,3,3,3,2,2,2,45,"감정표현은 풍부했으나, 에너지가 부족했던 것 같다."
1,83897222,Schubert_D960_mv2_8bars_4_14.wav,1,6.0,,,4,1,1,1,5,1,1,1,5,1,1,1,5,5,1,5,5,1,1,3,1,1,1,1,45,마치 폭풍우가 다 지나가고 나서 고요함만이 남은 듯한 분위기였다. 뭔가 나올 듯 나오지 않아 아쉬움이 있었다. 
1,83897255,Schubert_D960_mv2_8bars_5_09.wav,1,5.0,,,6,5,1,5,5,1,4,1,1,1,1,1,4,5,1,1,5,1,1,4,1,1,5,1,45,샘여림 같은 다이나믹이 많이 아쉬웠다. 크레센도에 더 크고 힘있게 데크레센도에 더 여리게 다이나믹을 주었다면 드라마가 더 재밌었을 것 같다
0,83897870,Schubert_D960_mv2_8bars_1_08.wav,3,,,,2,2,2,5,6,6,2,3,6,6,1,1,2,4,1,1,6,2,3,1,2,3,2,1,100,
4,83899092,Schubert_D960_mv2_8bars_1_08.wav,2,,,,2,6,1,3,2,2,4,2,5,3,2,2,6,3,6,2,5,2,2,3,6,3,6,6,200,
4,83899101,Schubert_D960_mv2_8bars_1_10.wav,7,,2.0,,3,6,2,2,5,1,6,3,2,2,7,6,3,2,5,5,2,6,3,6,6,6,6,7,120,
4,83899106,Schubert_D960_mv2_8bars_2_02.wav,1,6.0,,,2,6,2,5,6,5,2,2,5,5,2,2,3,5,6,6,3,1,2,3,3,5,5,3,180,
4,83899115,Schubert_D960_mv2_8bars_4_14.wav,5,,,,2,2,2,5,6,2,3,2,2,2,5,2,6,5,3,2,5,2,3,6,5,5,6,6,120,
4,83899125,Schubert_D960_mv2_8bars_5_09.wav,5,,,,3,6,1,7,6,5,2,2,6,6,3,2,2,2,3,2,6,2,2,1,2,2,3,2,180,
2,83904479,Schubert_D960_mv2_8bars_1_08.wav,1,7.0,,,3,6,2,5,5,1,6,2,2,2,6,2,5,4,5,4,2,5,3,6,6,6,6,3,65,
2,83904488,Schubert_D960_mv2_8bars_1_10.wav,6,,,,2,2,2,6,2,2,2,2,0,5,4,2,6,1,1,1,1,3,2,4,4,6,5,5,60,
2,83904497,Schubert_D960_mv2_8bars_2_02.wav,7,,1.0,7.0,7,6,6,2,1,6,2,3,7,6,1,2,3,6,2,2,6,4,4,0,6,2,3,7,70,
2,83904503,Schubert_D960_mv2_8bars_4_14.wav,1,7.0,,,1,7,1,7,7,1,7,2,1,3,4,1,7,4,6,5,2,4,5,7,7,6,6,5,120,
2,83904510,Schubert_D960_mv2_8bars_5_09.wav,1,7.0,,,1,7,1,6,6,4,6,5,2,3,5,4,5,2,3,3,2,5,7,2,2,2,4,7,180,
3,83909486,Schubert_D960_mv2_8bars_1_08.wav,1,7.0,,,4,5,2,2,3,2,6,3,5,3,2,1,5,4,2,3,5,2,6,4,4,5,6,5,60,
3,83909495,Schubert_D960_mv2_8bars_1_10.wav,5,,,,4,4,6,4,6,4,5,3,3,5,5,5,4,4,1,3,6,3,3,3,4,4,3,2,60,
3,83909504,Schubert_D960_mv2_8bars_2_02.wav,1,7.0,,,4,2,1,6,3,6,2,2,7,6,2,2,3,4,1,3,7,3,7,2,2,3,2,1,60,
3,83909513,Schubert_D960_mv2_8bars_4_14.wav,4,,,,0,3,2,1,3,2,2,5,6,5,2,3,5,6,3,5,5,3,5,5,4,6,5,5,60,
3,83909521,Schubert_D960_mv2_8bars_5_09.wav,4,,,,4,2,1,6,4,5,2,5,6,6,3,4,3,4,2,3,6,3,6,3,3,4,3,4,60,
